route_id,max_usd,category,provider,lane
R0067,300,Bank Bonus,First Merchants Bank,Standard
R0069,300,Bank Bonus,Old National Bank,Standard
R0070,300,Bank Bonus,Associated Bank,Standard
R0071,300,Bank Bonus,BOK Financial,Standard
R0072,300,Bank Bonus,Arvest Bank,Standard
R0073,300,Bank Bonus,Cadence Bank,Standard
R0074,300,Bank Bonus,Commerce Bank,Standard
R0075,300,Bank Bonus,Eastern Bank,Standard
R0077,300,Bank Bonus,Frost Bank,Standard
R0078,300,Bank Bonus,IBERIABank,Standard
R0080,300,Bank Bonus,OceanFirst Bank,Standard
R0081,300,Bank Bonus,Pacific Premier Bank,Standard
R0082,300,Bank Bonus,Renasant Bank,Standard
R0083,300,Bank Bonus,Seacoast Bank,Standard
R0084,300,Bank Bonus,Texas Capital Bank,Standard
R0085,300,Bank Bonus,Valley National Bank,Standard
R0087,300,Bank Bonus,Zions Bank,Standard
R0088,300,Bank Bonus,Amerant Bank,Standard
R0089,300,Bank Bonus,Bank of Hawaii,Standard
R0091,300,Bank Bonus,First Hawaiian Bank,Standard
R0092,300,Bank Bonus,HomeStreet Bank,Standard
R0093,300,Bank Bonus,PacWest (PacWest Bancorp),Standard
R0245,300,UGC/Creator,JoinBrands,Standard
R0254,300,UGC/Creator,Tribe,Standard
R0384,300,Voiceover/Audio,Voicebunny,Standard
R0386,300,Voiceover/Audio,Bunny Studio Voice,Standard
R0389,300,Voiceover/Audio,Voiceover.com,Standard
R0430,250,Other Online,SoFi Savings Bonus,Standard
R0233,250,Research Study,L&E Research,Standard
R0286,250,Focus Group,L&E Research,Standard
R0046,250,Bank Bonus,Capital One 360 Checking,Standard
R0049,250,Bank Bonus,M&T Bank Checking,Standard
R0061,250,Bank Bonus,Members Exchange Federal Credit Union,Standard
R0068,250,Bank Bonus,First Financial Bank,Standard
R0079,250,Bank Bonus,Manufacturers and Traders Trust (M&T),Standard
R0086,250,Bank Bonus,Washington Trust Bank,Standard
R0090,250,Bank Bonus,Central Pacific Bank,Standard
R0094,250,Bank Bonus,Royal Bank (Wisconsin),Standard
R0095,250,Bank Bonus,Security National Bank,Standard
R0366,200,Student Program,BookFinder (Textbook Buyback),Standard
R0367,200,Student Program,Chegg Textbook Buyback,Standard
R0368,200,Student Program,ValoreBooks Buyback,Standard
R0328,200,App Referral,Robinhood Referral,Standard
R0330,200,App Referral,Chime Referral,Standard
R0103,200,Fintech/Neobank,Upgrade,Standard
R0115,200,Fintech/Neobank,Brex,Standard
R0436,200,Other Online,Raisin Savings Marketplace,Standard
R0315,200,Rebate/Incentive,Smart Thermostat Rebates,Standard
R0228,200,Research Study,Respondent,Standard
R0229,200,Research Study,User Interviews,Standard
R0235,200,Research Study,20|20 Panel,Standard
R0016,200,Brokerage Promo,Robinhood,Standard
R0288,200,Focus Group,20|20 Panel,Standard
R0038,200,Bank Bonus,Bank of America Checking,Standard
R0249,200,UGC/Creator,Trend,Standard
R0253,200,UGC/Creator,Creator.co,Standard
R0267,200,UGC/Creator,Cohley,Standard
R0491,200,Other Online,Upwork,Standard
R0369,150,Student Program,Amazon Textbook Trade-in,Standard
R0102,150,Fintech/Neobank,Albert,Standard
R0469,150,Other Online,Aspiration,Standard
R0236,150,Research Study,WatchLab,Standard
R0289,150,Focus Group,WatchLab,Standard
R0329,100,App Referral,SoFi Referral,Standard
R0100,100,Fintech/Neobank,Varo,Standard
R0104,100,Fintech/Neobank,HMBradley,Standard
R0105,100,Fintech/Neobank,Lili,Standard
R0106,100,Fintech/Neobank,Found,Standard
R0107,100,Fintech/Neobank,Novo,Standard
R0108,100,Fintech/Neobank,Mercury,Standard
R0227,100,Research Study,dscout,Standard
R0270,100,AI Training,DataAnnotation.tech,Standard
R0294,60,Focus Group,Virtual Jury,Standard
R0001,60,Prediction Market,Polymarket,Restricted
R0002,55,Prediction Market,Kalshi,Restricted
R0156,50,Game/Offerwall,Freecash,Standard
R0099,50,Fintech/Neobank,Current,Standard
R0101,50,Fintech/Neobank,Dave,Standard
R0113,50,Fintech/Neobank,Wise,Standard
R0492,50,Other Online,TaskRabbit (Online Tasks),Standard
R0321,50,Rebate/Incentive,Lighting Rebate Programs,Standard
R0237,50,Research Study,Mindswarms,Standard
R0290,50,Focus Group,Mindswarms,Standard
R0293,50,Focus Group,JuryTest,Standard
R0271,50,AI Training,Outlier,Standard
R0273,45,AI Training,Scale AI,Standard
R0331,40,App Referral,Rakuten Referral,Standard
R0283,40,AI Training,Alignerr,Standard
R0169,30,Game/Offerwall,Playtesters (Global),Standard
R0114,30,Fintech/Neobank,Revolut,Standard
R0274,30,AI Training,Labelbox,Standard
R0282,30,AI Training,Mindrift,Standard
R0170,25,Game/Offerwall,Game Testers,Standard
R0409,25,Translation,Lionbridge (TELUS),Standard
R0277,25,AI Training,Welocalize,Standard
R0278,25,AI Training,OneForma (AI),Standard
R0391,22,Transcription,TranscribeMe,Standard
R0357,20,Media/Music,Shopkick,Standard
R0332,20,App Referral,Ibotta Referral,Standard
R0158,20,Game/Offerwall,KashKick,Standard
R0168,20,Game/Offerwall,BetaFamily,Standard
R0219,20,Survey,SEOClerks,Standard
R0410,20,Beta Testing,BetaTesting,Standard
R0413,20,Beta Testing,Testbirds,Standard
R0414,20,Beta Testing,Ubertesters,Standard
R0415,20,Beta Testing,BetaFamily,Standard
R0240,20,Research Study,BetaTesting,Standard
R0243,20,Research Study,Testbirds,Standard
R0244,20,Research Study,Ubertesters,Standard
R0393,20,Transcription,Scribie,Standard
R0021,20,Brokerage Promo,Acorns,Standard
R0275,20,AI Training,Appen,Standard
R0376,19,Student Program,Adobe Creative Cloud Student,Standard
R0378,15,Student Program,Figma Education,Standard
R0325,15,App Referral,Cash App Referral,Standard
R0334,15,App Referral,Upside Referral,Standard
R0109,15,Fintech/Neobank,Cash App,Standard
R0445,15,Other Online,CashMagnet,Standard
R0452,15,Other Online,SavvyConnect,Standard
R0411,15,Beta Testing,ErliBird,Standard
R0241,15,Research Study,ErliBird,Standard
R0402,15,Translation,Unbabel,Standard
R0276,15,AI Training,Telus International,Standard
R0279,12,AI Training,Prolific (AI studies),Standard
R0377,10,Student Program,Notion Free for Students,Standard
R0345,10,Crypto Reward,Coinbase Earn,Standard
R0346,10,Crypto Reward,CoinMarketCap Earn,Standard
R0347,10,Crypto Reward,Binance Learn and Earn,Standard
R0349,10,Crypto Reward,Phemex Learn and Earn,Standard
R0350,10,Crypto Reward,Bybit Learn and Earn,Standard
R0351,10,Crypto Reward,KuCoin Learn and Earn,Standard
R0498,10,Other Online,Achievement (Evidation),Standard
R0326,10,App Referral,Venmo Referral,Standard
R0327,10,App Referral,PayPal Referral,Standard
R0335,10,App Referral,Dosh Referral,Standard
R0157,10,Game/Offerwall,Swagbucks Games,Standard
R0159,10,Game/Offerwall,InboxDollars Games,Standard
R0172,10,Game/Offerwall,GrabPoints Games,Standard
R0173,10,Game/Offerwall,Reward XP Games,Standard
R0175,10,Game/Offerwall,ySense Games,Standard
R0110,10,Fintech/Neobank,Venmo,Standard
R0111,10,Fintech/Neobank,PayPal,Standard
R0416,10,Beta Testing,UserBob,Standard
R0225,10,Research Study,Trymata,Standard
R0238,10,Research Study,IntelliZoom,Standard
R0239,10,Research Study,UserZoom,Standard
R0291,10,Focus Group,eJury,Standard
R0272,10,AI Training,Remotasks,Standard
R0167,9,Game/Offerwall,PlaytestCloud,Standard
R0226,9,Research Study,PlaytestCloud,Standard
R0374,7,Student Program,Amazon Prime Student,Standard
R0375,5,Student Program,Spotify Premium Student,Standard
R0353,5,Crypto Reward,Revolut Learn and Earn,Standard
R0188,5,Survey,Prime Opinion,Standard
R0190,5,Survey,Eureka Surveys,Standard
R0333,5,App Referral,Fetch Referral,Standard
R0340,5,App Referral,InboxDollars Referral,Standard
R0160,5,Game/Offerwall,MyPoints Games,Standard
R0161,5,Game/Offerwall,Mistplay,Standard
R0171,5,Game/Offerwall,PrizeRebel Games,Standard
R0174,5,Game/Offerwall,Lootup Games,Standard
R0189,5,Survey,Five Surveys,Standard
R0196,5,Survey,InboxDollars Surveys,Standard
R0200,5,Survey,Opinion Outpost,Standard
R0206,5,Survey,ySense Surveys,Standard
R0207,5,Survey,Superpay.me,Standard
R0214,5,Survey,Clickworker,Standard
R0215,5,Survey,OneForma,Standard
R0441,5,Other Online,FeaturePoints,Standard
R0442,5,Other Online,FreeMyApps,Restricted
R0443,5,Other Online,AppBounty,Standard
R0451,5,Other Online,Smart Panel (Smart App),Standard
R0223,5,Research Study,Userbrain,Standard
R0012,3,Prediction Market,Coinbase,Restricted
R0187,3,Survey,Branded Surveys,Standard
R0191,3,Survey,Survey Pop,Standard
R0209,3,Survey,PaidViewpoint,Standard
R0199,3,Survey,Pinecone Research,Standard
R0440,3,Other Online,AppKarma,Standard
R0186,2,Survey,Survey Junkie,Standard
R0192,2,Survey,AttaPoll,Standard
R0198,2,Survey,Swagbucks Surveys,Standard
R0204,2,Survey,PrizeRebel Surveys,Standard
R0218,2,Survey,SproutGigs,Standard
R0397,2,Transcription,Daily Transcription,Standard
R0193,1,Survey,Qmee,Standard
R0208,1,Survey,SurveyTime,Standard
R0216,1,Survey,Microworkers,Standard
R0390,1,Transcription,Rev,Standard
R0392,1,Transcription,GoTranscript,Standard
R0394,1,Transcription,CastingWords,Standard
R0396,1,Transcription,Speechpad,Standard
R0365,0,Student Program,Campus Book Rentals,Standard
R0370,0,Student Program,StudentUniverse,Standard
R0371,0,Student Program,UNiDAYS,Standard
R0372,0,Student Program,SheerID Student Verification,Standard
R0379,0,Student Program,Coursera Plus Student,Standard
R0117,0,Cashback/Shopping,TopCashback,Standard
R0120,0,Cashback/Shopping,Upside,Standard
R0121,0,Cashback/Shopping,Rakuten In-Store,Standard
R0122,0,Cashback/Shopping,Dosh,Standard
R0123,0,Cashback/Shopping,Drop,Standard
R0124,0,Cashback/Shopping,Bumped,Standard
R0125,0,Cashback/Shopping,Capital One Shopping,Standard
R0126,0,Cashback/Shopping,Honey (PayPal Honey),Standard
R0127,0,Cashback/Shopping,Piggy,Standard
R0128,0,Cashback/Shopping,RetailMeNot,Standard
R0129,0,Cashback/Shopping,Slickdeals Cashback,Standard
R0130,0,Cashback/Shopping,CouponCabin,Standard
R0131,0,Cashback/Shopping,BeFrugal,Standard
R0132,0,Cashback/Shopping,Mr. Rebates,Standard
R0133,0,Cashback/Shopping,Extrabux,Standard
R0134,0,Cashback/Shopping,RebatesMe,Standard
R0135,0,Cashback/Shopping,GoCashBack,Standard
R0136,0,Cashback/Shopping,MaxRebates,Standard
R0137,0,Cashback/Shopping,Pennyful,Standard
R0138,0,Cashback/Shopping,FatWallet,Standard
R0139,0,Cashback/Shopping,MyPoints,Standard
R0141,0,Cashback/Shopping,InboxDollars,Standard
R0142,0,Cashback/Shopping,SendEarnings,Standard
R0143,0,Cashback/Shopping,CashCrate,Standard
R0144,0,Cashback/Shopping,PrizeRebel,Standard
R0145,0,Cashback/Shopping,GrabPoints,Standard
R0146,0,Cashback/Shopping,Idle-Empire,Standard
R0147,0,Cashback/Shopping,Reward XP,Standard
R0148,0,Cashback/Shopping,Lootup,Standard
R0149,0,Cashback/Shopping,ySense,Standard
R0150,0,Cashback/Shopping,Toluna Influencers,Standard
R0152,0,Cashback/Shopping,Microsoft Rewards,Standard
R0153,0,Cashback/Shopping,Samsung Rewards,Standard
R0154,0,Cashback/Shopping,Shopkick,Standard
R0155,0,Cashback/Shopping,Fetch eReceipts,Standard
R0356,0,Media/Music,Samsung Rewards,Standard
R0358,0,Media/Music,CheckPoints,Standard
R0359,0,Media/Music,MobiSave (Fetch eReceipts),Standard
R0360,0,Media/Music,Receipt Hog,Standard
R0361,0,Media/Music,Receipt Pal,Standard
R0362,0,Media/Music,Yaarlo,Standard
R0363,0,Media/Music,CoinOut,Standard
R0364,0,Media/Music,GetUpside (Media/Restaurant),Standard
R0151,0,Cashback/Shopping,Qmee,Standard
R0494,0,Other Online,Sweatcoin,Standard
R0348,0,Crypto Reward,CoinList Earn,Standard
R0352,0,Crypto Reward,Bitget Learn and Earn,Standard
R0354,0,Crypto Reward,Gemini Crypto Earn,Standard
R0336,0,App Referral,Drop Referral,Standard
R0337,0,App Referral,Mistplay Referral,Standard
R0338,0,App Referral,Freecash Referral,Standard
R0339,0,App Referral,Swagbucks Referral,Standard
R0341,0,App Referral,MyPoints Referral,Standard
R0342,0,App Referral,Prolific Referral,Restricted
R0343,0,App Referral,UserTesting Referral,Standard
R0344,0,App Referral,Coinbase Referral,Restricted
R0162,0,Game/Offerwall,Rewarded Play,Standard
R0163,0,Game/Offerwall,JustPlay,Standard
R0164,0,Game/Offerwall,Cash Giraffe,Standard
R0165,0,Game/Offerwall,Money Well,Standard
R0166,0,Game/Offerwall,AppStation,Standard
R0176,0,Game/Offerwall,Toluna Games,Standard
R0177,0,Game/Offerwall,Coin Pop,Standard
R0178,0,Game/Offerwall,Fitplay,Standard
R0179,0,Game/Offerwall,AppKarma,Standard
R0180,0,Game/Offerwall,AppNana,Standard
R0181,0,Game/Offerwall,FeaturePoints,Standard
R0182,0,Game/Offerwall,FreeMyApps,Restricted
R0183,0,Game/Offerwall,AppBounty,Standard
R0184,0,Game/Offerwall,Make Money (Free Cash),Standard
R0185,0,Game/Offerwall,Survey Junkie Pulse,Standard
R0194,0,Survey,Toluna Influencers,Standard
R0195,0,Survey,LifePoints,Standard
R0197,0,Survey,MyPoints Surveys,Standard
R0201,0,Survey,YouGov,Standard
R0202,0,Survey,iPsos iSay,Standard
R0203,0,Survey,Maru Springboard,Standard
R0205,0,Survey,GrabPoints Surveys,Standard
R0210,0,Survey,Panel App,Standard
R0211,0,Survey,National Consumer Panel,Standard
R0212,0,Survey,Nielsen Computer Panel,Standard
R0213,0,Survey,Nielsen Mobile Panel,Standard
R0217,0,Survey,RapidWorkers,Standard
R0296,0,Unclaimed/Recovery,Unclaimed.org (NAUPA),Standard
R0297,0,Unclaimed/Recovery,Treasury Direct (Treasury Hunt),Standard
R0298,0,Unclaimed/Recovery,PBGC Pension Search,Standard
R0299,0,Unclaimed/Recovery,FDIC Unclaimed Funds,Standard
R0300,0,Unclaimed/Recovery,NCUA Unclaimed Shares,Standard
R0301,0,Unclaimed/Recovery,IRS Tax Refund Search,Standard
R0303,0,Unclaimed/Recovery,Top Class Actions,Standard
R0304,0,Unclaimed/Recovery,Open Class Action Lawsuits,Standard
R0305,0,Unclaimed/Recovery,FTC Refunds,Standard
R0306,0,Unclaimed/Recovery,State AG Restitution,Standard
R0307,0,Unclaimed/Recovery,SEC Claims,Standard
R0308,0,Unclaimed/Recovery,Recall.gov,Standard
R0309,0,Unclaimed/Recovery,CPSC Recalls,Standard
R0112,0,Fintech/Neobank,Zelle (via bank),Standard
R0431,0,Other Online,Ally Savings Bonus,Standard
R0432,0,Other Online,Marcus by Goldman Sachs Savings,Standard
R0434,0,Other Online,Capital One 360 Savings,Standard
R0435,0,Other Online,American Express HYSA,Standard
R0437,0,Other Online,Raisin CD Promotion,Standard
R0438,0,Other Online,Coin Pop,Standard
R0439,0,Other Online,Fitplay,Standard
R0444,0,Other Online,AppNana,Standard
R0447,0,Other Online,Panel App,Standard
R0448,0,Other Online,National Consumer Panel,Standard
R0449,0,Other Online,Nielsen Computer Panel,Standard
R0450,0,Other Online,Nielsen Mobile Panel,Standard
R0453,0,Other Online,Digital Voice Panel,Standard
R0454,0,Other Online,Ibotta Browser Extension,Standard
R0455,0,Other Online,Rakuten Browser Extension,Standard
R0456,0,Other Online,Honey Gold Browser Extension,Standard
R0457,0,Other Online,Capital One Shopping Extension,Standard
R0458,0,Other Online,Wikibuy (Capital One),Standard
R0459,0,Other Online,Pouch Browser Extension,Standard
R0460,0,Other Online,Slickdeals Cashback Extension,Standard
R0461,0,Other Online,CouponCabin Browser Extension,Standard
R0462,0,Other Online,BeFrugal Browser Extension,Standard
R0463,0,Other Online,Mr. Rebates Browser Extension,Standard
R0464,0,Other Online,Extrabux Browser Extension,Standard
R0465,0,Other Online,RebatesMe Browser Extension,Standard
R0466,0,Other Online,GoCashBack Extension,Standard
R0467,0,Other Online,MaxRebates Extension,Standard
R0468,0,Other Online,Lemonade Browser Extension,Standard
R0470,0,Other Online,N26,Standard
R0471,0,Other Online,Monzo,Standard
R0472,0,Other Online,Tomo,Standard
R0473,0,Other Online,X1 Card,Standard
R0474,0,Other Online,Petalfin,Standard
R0475,0,Other Online,Cred.ai,Standard
R0478,0,Other Online,Instagram Reels Bonus,Standard
R0479,0,Other Online,Snapchat Spotlight,Standard
R0480,0,Other Online,X (Twitter) Creator Ads Revenue,Standard
R0481,0,Other Online,Twitch Affiliate,Standard
R0482,0,Other Online,Patreon,Standard
R0483,0,Other Online,Ko-fi,Standard
R0484,0,Other Online,Buy Me a Coffee,Standard
R0485,0,Other Online,Substack,Standard
R0487,0,Other Online,Etsy Digital Products,Standard
R0488,0,Other Online,Creative Market,Standard
R0489,0,Other Online,Envato Market,Standard
R0493,0,Other Online,Thumbtack (Online Services),Standard
R0497,0,Other Online,StepBet,Standard
R0499,0,Other Online,Miles App,Standard
R0500,0,Other Online,S'mores,Standard
R0501,0,Other Online,Slidejoy,Standard
R0502,0,Other Online,Fronto,Standard
R0503,0,Other Online,AdMe,Standard
R0504,0,Other Online,ScreenLift,Standard
R0505,0,Other Online,InboxDollars Mobile,Standard
R0506,0,Other Online,SendEarnings Mobile,Standard
R0507,0,Other Online,MyPoints Mobile,Standard
R0508,0,Other Online,Swagbucks Mobile,Standard
R0509,0,Other Online,Microsoft Rewards Mobile,Standard
R0510,0,Other Online,Google Rewards TV,Restricted
R0511,0,Other Online,Netflix Paid Tagging,Standard
R0512,0,Other Online,Viggle,Standard
R0513,0,Other Online,CheckPoints TV,Standard
R0514,0,Other Online,Perk TV,Standard
R0515,0,Other Online,AppNana Daily Login,Standard
R0516,0,Other Online,FeaturePoints Daily Check,Standard
R0517,0,Other Online,Lootup Daily Bonus,Standard
R0518,0,Other Online,Idle-Empire Daily,Standard
R0519,0,Other Online,Reward XP Daily,Standard
R0520,0,Other Online,GrabPoints Daily,Standard
R0521,0,Other Online,ySense Daily Bonus,Standard
R0522,0,Other Online,PrizeRebel Daily,Standard
R0523,0,Other Online,Toluna Daily,Standard
R0524,0,Other Online,Shopkick Walk-in,Standard
R0525,0,Other Online,Shopkick Scan,Standard
R0526,0,Other Online,Fetch Daily Receipt,Standard
R0527,0,Other Online,Receipt Hog Daily,Standard
R0528,0,Other Online,CoinOut Daily,Standard
R0529,0,Other Online,Ibotta Daily Scan,Standard
R0530,0,Other Online,Rakuten In-Store Daily,Standard
R0531,0,Other Online,Dosh Daily,Standard
R0532,0,Other Online,Drop Daily,Standard
R0533,0,Other Online,Bumped Daily,Standard
R0534,0,Other Online,Pogo App,Standard
R0535,0,Other Online,Fluz App,Standard
R0311,0,Rebate/Incentive,Department of Energy Incentives,Standard
R0317,0,Rebate/Incentive,Solar Tax Credit,Standard
R0322,0,Rebate/Incentive,State Energy Office Programs,Standard
R0412,0,Beta Testing,Centercode,Standard
R0417,0,Beta Testing,Ferrox,Standard
R0418,0,Beta Testing,BetaBound,Standard
R0419,0,Beta Testing,Prefinery,Standard
R0222,0,Research Study,Userlytics,Standard
R0224,0,Research Study,UserCrowd,Standard
R0230,0,Research Study,CloudResearch Connect,Standard
R0242,0,Research Study,Centercode,Standard
R0017,0,Brokerage Promo,Webull,Standard
R0395,0,Transcription,Tigerfish,Standard
R0398,0,Transcription,Transcription Hub,Standard
R0399,0,Transcription,Quicktate,Standard
R0496,0,Other Online,DietBet,Standard
R0003,0,Prediction Market,Blossom Social,Restricted
R0004,0,Prediction Market,PredictIt,Restricted
R0005,0,Prediction Market,Manifold Markets,Restricted
R0006,0,Prediction Market,Lokai Markets,Restricted
R0007,0,Prediction Market,Timeframe,Restricted
R0008,0,Prediction Market,ZenSports,Restricted
R0009,0,Prediction Market,Betstamp,Restricted
R0010,0,Prediction Market,Smarkets,Restricted
R0011,0,Prediction Market,Binance.US,Restricted
R0013,0,Prediction Market,Coinbase Advanced,Restricted
R0014,0,Prediction Market,Kraken,Restricted
R0015,0,Prediction Market,Gemini,Restricted
R0018,0,Brokerage Promo,SoFi Invest,Standard
R0019,0,Brokerage Promo,Public.com,Standard
R0022,0,Brokerage Promo,Stash,Standard
R0023,0,Brokerage Promo,Moomoo,Standard
R0024,0,Brokerage Promo,Firstrade,Standard
R0025,0,Brokerage Promo,tastytrade,Standard
R0027,0,Brokerage Promo,Charles Schwab,Standard
R0028,0,Brokerage Promo,Fidelity,Standard
R0029,0,Brokerage Promo,Vanguard,Standard
R0030,0,Brokerage Promo,Interactive Brokers,Standard
R0031,0,Brokerage Promo,Betterment,Standard
R0032,0,Brokerage Promo,Wealthfront,Standard
R0033,0,Brokerage Promo,M1 Finance,Standard
R0034,0,Brokerage Promo,Ally Invest,Restricted
R0035,0,Brokerage Promo,Vantage/Cash Management,Standard
R0486,0,Other Online,Gumroad,Standard
R0246,0,UGC/Creator,Billo,Standard
R0247,0,UGC/Creator,Influee,Standard
R0248,0,UGC/Creator,Insense,Standard
R0250,0,UGC/Creator,AspireIQ,Standard
R0251,0,UGC/Creator,Grin,Standard
R0252,0,UGC/Creator,Upfluence,Standard
R0255,0,UGC/Creator,Branded,Standard
R0256,0,UGC/Creator,Whalar,Standard
R0257,0,UGC/Creator,Obvious.ly,Standard
R0258,0,UGC/Creator,Revfluence,Standard
R0259,0,UGC/Creator,Collabs (formerly AspireIQ),Standard
R0260,0,UGC/Creator,TapInfluence,Standard
R0261,0,UGC/Creator,LTK (formerly RewardStyle),Standard
R0262,0,UGC/Creator,Amazon Influencer Program,Standard
R0263,0,UGC/Creator,ShopMy,Standard
R0264,0,UGC/Creator,Mavely,Standard
R0265,0,UGC/Creator,Octoly,Standard
R0266,0,UGC/Creator,Eleven,Standard
R0268,0,UGC/Creator,BlogMe,Standard
R0269,0,UGC/Creator,Brandbacker,Standard
R0420,0,Brand Ambassador,Campus Reel,Standard
R0421,0,Brand Ambassador,Bumble Campus Ambassador,Standard
R0422,0,Brand Ambassador,Red Bull Student Brand Manager,Standard
R0423,0,Brand Ambassador,Spotify Student Ambassador,Standard
R0424,0,Brand Ambassador,Amazon Campus Ambassador,Standard
R0425,0,Brand Ambassador,Google Student Ambassador,Standard
R0426,0,Brand Ambassador,Microsoft Student Partner,Standard
R0427,0,Brand Ambassador,Adobe Campus Ambassador,Standard
R0428,0,Brand Ambassador,TikTok Campus Ambassador,Standard
R0429,0,Brand Ambassador,Meta Campus Ambassador,Standard
R0400,0,Translation,Gengo,Standard
R0401,0,Translation,OneHourTranslation,Standard
R0403,0,Translation,Translate.com,Standard
R0405,0,Translation,Translated.com,Standard
R0406,0,Translation,Babbletype,Standard
R0407,0,Translation,TextMaster,Standard
R0408,0,Translation,Stepes,Standard
R0280,0,AI Training,Kled,Standard
R0281,0,AI Training,BeSimple AI (Pila8),Standard
R0284,0,AI Training,Flatfile,Standard
R0387,0,Voiceover/Audio,VoiceOver Marketplace,Standard
R0476,0,Other Online,TikTok Creator Fund,Standard
